word,frequency,song_count,song_percentage
内心,54,26,0.740108169655565
拉扯,24,13,0.3700540848277825
越是,40,17,0.48391688015940787
角落,75,41,1.1670936521491604
策划,32,31,0.8824366638200968
脆弱,80,57,1.6225448334756618
权利,43,32,0.9109023626530032
懂得,82,42,1.1955593509820666
我爱你,172,64,1.8218047253060063
剧情,41,30,0.8539709649871904
醒来,48,31,0.8824366638200968
何必,63,34,0.9678337603188157
不安,57,37,1.053230856817535
得到,88,55,1.565613435809849
安慰,85,51,1.4517506404782237
热情,43,28,0.7970395673213778
熄灭,48,29,0.825505266154284
繁华,44,25,0.7116424708226587
灯光,20,15,0.4269854824935952
然而,30,21,0.5977796754910333
破晓,25,14,0.3985197836606889
看着,215,114,3.2450896669513236
如同,28,19,0.5408482778252206
高兴,29,18,0.5123825789923143
霓虹,31,22,0.6262453743239397
冷清,20,15,0.4269854824935952
烟花,22,13,0.3700540848277825
显得,25,14,0.3985197836606889
风景,88,50,1.4232849416453175
不敢,133,73,2.0779960148021632
奋斗,20,8,0.2277255906632508
太晚,23,10,0.2846569883290635
突然,137,83,2.3626530031312267
世间,67,37,1.053230856817535
用尽,34,19,0.5408482778252206
付出,115,56,1.5940791346427556
几多,22,12,0.3415883859948762
一只,28,15,0.4269854824935952
偷偷,91,41,1.1670936521491604
活着,54,27,0.7685738684884714
记住,28,22,0.6262453743239397
关于,66,40,1.138627953316254
光阴,51,28,0.7970395673213778
灵魂,101,57,1.6225448334756618
这么,159,76,2.1633931113008824
伟大,22,13,0.3700540848277825
实在,28,20,0.569313976658127
接触,25,9,0.25619128949615716
抱紧,63,28,0.7970395673213778
茫茫,32,20,0.569313976658127
好像,153,86,2.448050099629946
荒野,24,10,0.2846569883290635
爸爸,44,24,0.6831767719897524
肩膀,24,16,0.4554511813265016
想起,180,103,2.9319669797893537
看不到,32,19,0.5408482778252206
角色,20,11,0.31312268716196984
从来,128,60,1.7079419299743808
怀念,95,45,1.2809564474807857
唯一,89,41,1.1670936521491604
哪怕,91,42,1.1955593509820666
可知,23,11,0.31312268716196984
承受,73,32,0.9109023626530032
资格,24,15,0.4269854824935952
满足,31,20,0.569313976658127
平淡,28,18,0.5123825789923143
我要,264,95,2.704241389126103
深夜,30,19,0.5408482778252206
每次,67,33,0.9393680614859093
温度,38,22,0.6262453743239397
失落,43,28,0.7970395673213778
无论,60,26,0.740108169655565
何处,25,12,0.3415883859948762
想要,379,157,4.469114716766296
白色,36,20,0.569313976658127
听到,72,38,1.0816965556504412
告诉,205,111,3.159692570452605
哪里,221,94,2.6757756902931966
是不是,131,64,1.8218047253060063
默契,31,18,0.5123825789923143
每当,84,38,1.0816965556504412
